Currency Code,Exchange Rate
CAD,1.3884
USD,1.0
GBP,0.6742
EUR,0.9185
AUD,1.3683
GBP,0.6773
CAD,1.3922
EUR,0.9176
EUR,0.9306
AUD,1.3942
EUR,0.9309
AUD,1.4138
CAD,1.4091
GBP,0.6837
EUR,0.9201
CAD,1.4133
AUD,1.4308
GBP,0.6859
EUR,0.9207
CAD,1.4106
GBP,0.6861
AUD,1.4267
EUR,0.9184
CAD,1.4085
GBP,0.6929
GBP,
USD,
EUR,
CAD,
AUD,
GBP,0.6992
EUR,0.9188
GBP,0.6948
AUD,1.4173
EUR,0.9158
EUR,0.9147
GBP,0.689
CAD,1.3712
EUR,0.8924
AUD,1.3873
GBP,0.6835
CAD,1.3751
GBP,0.6872
EUR,0.8927
EUR,0.9008
CAD,1.3951
EUR,0.89
AUD,1.4314
EUR,0.8883
CAD,1.3859
EUR,0.8813
GBP,0.6939
CAD,1.3961
CAD,1.3923
EUR,0.8869
CAD,1.352
GBP,0.7156
EUR,0.9198
CAD,1.3444
GBP,0.7131
AUD,1.3826
CAD,1.3434
GBP,0.7103
EUR,0.9173
AUD,1.3624
EUR,0.9116
GBP,0.7063
CAD,1.3416
GBP,0.707
CAD,1.3377
EUR,0.913
EUR,0.9068
GBP,0.703
CAD,1.3285
GBP,0.7067
EUR,0.9211
EUR,0.9017
GBP,0.6997
CAD,1.3253
GBP,0.6808
EUR,0.8701
EUR,0.8644
EUR,0.8692
GBP,0.6891
AUD,1.3367
GBP,0.6894
CAD,1.282
EUR,0.8751
GBP,0.69
CAD,1.2879
GBP,0.6933
EUR,0.8791
GBP,0.6924
CAD,1.2962
AUD,1.3614
GBP,0.6921
CAD,1.2872
EUR,0.8765
AUD,1.3646
GBP,0.6927
CAD,1.2814
EUR,0.878
CAD,1.3054
AUD,1.3755
EUR,0.8949
GBP,0.6923
GBP,0.6912
EUR,0.8938
EUR,0.8965
CAD,1.3084
EUR,0.8811
GBP,0.6936
GBP,0.6863
CAD,1.2682
GBP,0.686
EUR,0.8816
GBP,0.6915
CAD,1.2747
AUD,1.3444
EUR,0.8846
GBP,0.6943
CAD,1.2748
EUR,0.8981
GBP,0.7529
CAD,1.2923
EUR,0.8978
CAD,1.2864
EUR,0.8972
GBP,0.7626
EUR,0.9034
CAD,1.3026
GBP,0.7706
EUR,0.9025
GBP,0.7679
GBP,0.77
CAD,1.3014
EUR,0.9033
GBP,0.7702
EUR,0.9051
EUR,0.9016
CAD,1.3029
GBP,0.7598
CAD,1.3066
GBP,0.7532
EUR,0.8934
EUR,0.8929
AUD,1.317
GBP,0.7492
EUR,0.898
AUD,1.3114
CAD,1.3023
EUR,0.8964
AUD,1.3058
GBP,0.7602
CAD,1.3144
EUR,0.902
GBP,0.7709
CAD,1.3149
GBP,0.7649
EUR,0.8941
CAD,1.3016
EUR,0.8966
GBP,0.7714
GBP,0.7712
EUR,0.8962
CAD,1.2975
GBP,0.7541
CAD,1.3129
GBP,0.7528
CAD,1.3082
AUD,1.3231
CAD,1.294
CAD,1.2909
EUR,0.8961
GBP,0.7486
GBP,0.7472
EUR,0.8899
CAD,1.2877
EUR,0.8853
GBP,0.7504
EUR,0.8875
CAD,1.2957
GBP,0.7525
EUR,0.8908
EUR,0.896
GBP,0.7715
AUD,1.3132
GBP,0.7771
GBP,0.7843
CAD,1.3168
GBP,0.7863
EUR,0.892
CAD,1.3204
GBP,0.7897
AUD,1.3198
GBP,0.8111
CAD,1.3271
EUR,0.8977
GBP,0.8071
GBP,0.8145
EUR,0.9026
AUD,1.3249
CAD,1.3226
GBP,0.8166
EUR,0.9074
CAD,1.3247
CAD,1.3361
EUR,0.907
GBP,0.8117
CAD,1.3375
EUR,0.9038
GBP,0.8013
AUD,1.3046
GBP,0.8006
EUR,0.9015
CAD,1.3433
AUD,1.3015
EUR,0.904
GBP,0.8049
CAD,1.3391
CAD,1.3368
CAD,1.3426
GBP,0.8077
EUR,0.9073
AUD,1.3007
CAD,1.3482
GBP,0.8057
EUR,0.9179
GBP,0.7899
CAD,1.3491
AUD,1.3149
EUR,0.9171
GBP,0.7914
EUR,0.941
EUR,0.9397
GBP,0.7922
CAD,1.3303
GBP,0.7865
