Order Number,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Exchange Rate
366000,2016-01-01,,265598,10,1304,1,CAD,1.3884
366001,2016-01-01,2016-01-13,1269051,0,1048,2,USD,1.0
366001,2016-01-01,2016-01-13,1269051,0,2007,1,USD,1.0
366002,2016-01-01,2016-01-12,266019,0,1106,7,CAD,1.3884
366002,2016-01-01,2016-01-12,266019,0,373,1,CAD,1.3884
366002,2016-01-01,2016-01-12,266019,0,1080,4,CAD,1.3884
366004,2016-01-01,,1107461,38,163,6,GBP,0.6742
366004,2016-01-01,,1107461,38,1529,2,GBP,0.6742
366005,2016-01-01,,844003,33,421,4,EUR,0.9185
366007,2016-01-01,,2035771,43,1617,1,USD,1.0
366007,2016-01-01,,2035771,43,666,5,USD,1.0
366008,2016-01-01,,759705,29,1154,9,EUR,0.9185
366008,2016-01-01,,759705,29,2510,1,EUR,0.9185
366008,2016-01-01,,759705,29,1060,5,EUR,0.9185
366009,2016-01-01,,254540,9,1648,1,CAD,1.3884
366010,2016-01-01,2016-01-08,370077,0,618,5,CAD,1.3884
366011,2016-01-01,,1984985,66,128,7,USD,1.0
366011,2016-01-01,,1984985,66,1638,1,USD,1.0
366011,2016-01-01,,1984985,66,1634,1,USD,1.0
366011,2016-01-01,,1984985,66,2392,3,USD,1.0
366012,2016-01-01,,1977527,65,1807,1,USD,1.0
366012,2016-01-01,,1977527,65,1594,4,USD,1.0
366012,2016-01-01,,1977527,65,1297,1,USD,1.0
366013,2016-01-01,,1187306,41,1654,5,GBP,0.6742
366014,2016-01-01,2016-01-06,738549,0,123,1,EUR,0.9185
366014,2016-01-01,2016-01-06,738549,0,1700,2,EUR,0.9185
366016,2016-01-01,,1982762,63,1253,7,USD,1.0
367000,2016-01-02,,1438050,56,1176,1,USD,1.0
367003,2016-01-02,,980164,40,153,2,GBP,0.6742
367004,2016-01-02,,1853699,56,136,1,USD,1.0
367004,2016-01-02,,1853699,56,1637,4,USD,1.0
367005,2016-01-02,2016-01-10,758280,0,1691,1,EUR,0.9185
367005,2016-01-02,2016-01-10,758280,0,319,2,EUR,0.9185
367005,2016-01-02,2016-01-10,758280,0,1674,8,EUR,0.9185
367005,2016-01-02,2016-01-10,758280,0,2511,9,EUR,0.9185
367005,2016-01-02,2016-01-10,758280,0,1720,2,EUR,0.9185
367005,2016-01-02,2016-01-10,758280,0,1597,7,EUR,0.9185
367005,2016-01-02,2016-01-10,758280,0,784,1,EUR,0.9185
367006,2016-01-02,,693285,18,2445,3,EUR,0.9185
367007,2016-01-02,,1730985,57,65,7,USD,1.0
367007,2016-01-02,,1730985,57,1432,9,USD,1.0
367008,2016-01-02,,763246,28,1951,3,EUR,0.9185
367009,2016-01-02,,1512558,57,934,1,USD,1.0
367009,2016-01-02,,1512558,57,930,8,USD,1.0
367009,2016-01-02,,1512558,57,1436,5,USD,1.0
367009,2016-01-02,,1512558,57,1547,3,USD,1.0
367009,2016-01-02,,1512558,57,53,5,USD,1.0
367010,2016-01-02,,1322959,66,917,1,USD,1.0
367010,2016-01-02,,1322959,66,39,1,USD,1.0
367011,2016-01-02,,507981,22,39,1,EUR,0.9185
367012,2016-01-02,,209990,9,1653,5,CAD,1.3884
367012,2016-01-02,,209990,9,145,3,CAD,1.3884
367013,2016-01-02,,815458,31,1733,2,EUR,0.9185
367013,2016-01-02,,815458,31,41,6,EUR,0.9185
367014,2016-01-02,,1839627,56,1184,3,USD,1.0
367015,2016-01-02,,911025,42,2296,7,GBP,0.6742
367016,2016-01-02,,1633409,63,1487,1,USD,1.0
367016,2016-01-02,,1633409,63,558,7,USD,1.0
367016,2016-01-02,,1633409,63,206,3,USD,1.0
367017,2016-01-02,,1612400,47,1203,4,USD,1.0
367018,2016-01-02,,1301565,59,1245,2,USD,1.0
